"","X","work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size"
"173",173,2023,"MI","FT","Information System Security Officer",99450,"USD",99450,"US",0,"US","M"
"174",174,2023,"SE","FT","Information Systems Security Officer",176000,"USD",176000,"US",0,"US","M"
"175",175,2023,"SE","FT","Information Systems Security Officer",82000,"USD",82000,"US",0,"US","M"
"176",176,2023,"MI","FT","Security Lead",100000,"GBP",123040,"GB",0,"GB","M"
"177",177,2023,"MI","FT","Security Lead",60000,"GBP",73824,"GB",0,"GB","M"
"178",178,2023,"SE","FT","Security Engineer",304750,"USD",304750,"US",0,"US","M"
"179",179,2023,"SE","FT","Security Engineer",160000,"USD",160000,"US",0,"US","M"
"180",180,2023,"SE","FT","Security Engineer",155000,"USD",155000,"US",0,"US","M"
"181",181,2023,"SE","FT","Security Engineer",130000,"USD",130000,"US",0,"US","M"
"182",182,2023,"SE","FT","Security Engineer",212800,"USD",212800,"US",0,"US","L"
"183",183,2023,"SE","FT","Security Engineer",135500,"USD",135500,"US",0,"US","L"
"184",184,2023,"SE","FT","Security Engineer",212800,"USD",212800,"US",0,"US","L"
"185",185,2023,"SE","FT","Security Engineer",135500,"USD",135500,"US",0,"US","L"
"186",186,2023,"SE","FT","Malware Reverse Engineer",250000,"USD",250000,"US",0,"US","M"
"187",187,2023,"SE","FT","Malware Reverse Engineer",175000,"USD",175000,"US",0,"US","M"
"188",188,2023,"SE","FT","Security Analyst",130000,"USD",130000,"US",0,"US","M"
"189",189,2023,"SE","FT","Security Analyst",110000,"USD",110000,"US",0,"US","M"
"190",190,2023,"MI","FT","Security Engineer",201250,"USD",201250,"US",0,"US","M"
"191",191,2023,"MI","FT","Security Engineer",128000,"USD",128000,"US",0,"US","M"
"192",192,2023,"SE","FT","Vulnerability Management Engineer",195000,"USD",195000,"US",0,"US","M"
"193",193,2023,"SE","FT","Vulnerability Management Engineer",150000,"USD",150000,"US",0,"US","M"
"194",194,2023,"MI","FT","Security Lead",186500,"USD",186500,"US",0,"US","M"
"195",195,2023,"MI","FT","Security Lead",118500,"USD",118500,"US",0,"US","M"
"196",196,2023,"SE","FT","Security Specialist",154800,"USD",154800,"US",0,"US","M"
"197",197,2023,"SE","FT","Security Specialist",76300,"USD",76300,"US",0,"US","M"
"198",198,2023,"SE","FT","Security Architect",200000,"USD",200000,"US",100,"US","M"
"199",199,2023,"SE","FT","Security Architect",160000,"USD",160000,"US",100,"US","M"
"200",200,2023,"MI","FT","Security Specialist",60000,"USD",60000,"US",100,"US","M"
"201",201,2023,"MI","FT","Security Specialist",60000,"USD",60000,"US",100,"US","M"
"202",202,2023,"MI","FT","Security Engineer",60000,"EUR",64781,"LV",0,"LV","M"
"203",203,2023,"MI","FT","Security Engineer",50000,"EUR",53984,"LV",0,"LV","M"
"204",204,2023,"SE","FT","Security Engineer",155000,"USD",155000,"US",100,"US","M"
"205",205,2023,"SE","FT","Security Engineer",110000,"USD",110000,"US",100,"US","M"
"206",206,2023,"SE","FT","IAM Engineer",250000,"USD",250000,"US",0,"US","M"
"207",207,2023,"SE","FT","IAM Engineer",175000,"USD",175000,"US",0,"US","M"
"208",208,2023,"SE","FT","Security Engineer",247600,"USD",247600,"US",0,"US","L"
"209",209,2023,"SE","FT","Security Engineer",136000,"USD",136000,"US",0,"US","L"
"210",210,2023,"SE","FT","Professional Services Consultant",175000,"USD",175000,"US",100,"US","M"
"211",211,2023,"SE","FT","Professional Services Consultant",135000,"USD",135000,"US",100,"US","M"
"212",212,2023,"SE","FT","Security Engineer",212800,"USD",212800,"US",0,"US","L"
"213",213,2023,"SE","FT","Security Engineer",111600,"USD",111600,"US",0,"US","L"
"214",214,2023,"SE","FT","Security Engineer",175000,"USD",175000,"US",0,"US","M"
"215",215,2023,"SE","FT","Security Engineer",122500,"USD",122500,"US",0,"US","M"
"216",216,2023,"SE","FT","Security Architect",221250,"USD",221250,"US",100,"US","M"
"217",217,2023,"SE","FT","Security Architect",198750,"USD",198750,"US",100,"US","M"
"218",218,2023,"SE","FT","Security Engineer",198000,"USD",198000,"US",100,"US","M"
"219",219,2023,"SE","FT","Security Engineer",137000,"USD",137000,"US",100,"US","M"
"220",220,2023,"SE","FT","Security Engineer",212800,"USD",212800,"US",0,"US","L"
"221",221,2023,"SE","FT","Security Engineer",135500,"USD",135500,"US",0,"US","L"
"222",222,2023,"SE","FT","Security Engineer",247600,"USD",247600,"US",0,"US","L"
"223",223,2023,"SE","FT","Security Engineer",136000,"USD",136000,"US",0,"US","L"
"224",224,2023,"SE","FT","Professional Services Consultant",175000,"USD",175000,"US",100,"US","M"
"225",225,2023,"SE","FT","Professional Services Consultant",135000,"USD",135000,"US",100,"US","M"
"226",226,2023,"SE","FT","Professional Services Consultant",165000,"USD",165000,"US",100,"US","M"
"227",227,2023,"SE","FT","Professional Services Consultant",140000,"USD",140000,"US",100,"US","M"
"228",228,2023,"EX","FT","Security Engineer",256000,"USD",256000,"US",0,"US","M"
"229",229,2023,"EX","FT","Security Engineer",154000,"USD",154000,"US",0,"US","M"
"230",230,2023,"SE","FT","Security Engineer",150000,"USD",150000,"US",0,"US","M"
"231",231,2023,"SE","FT","Security Engineer",130000,"USD",130000,"US",0,"US","M"
"232",232,2023,"EX","FT","Information Security Officer",164220,"USD",164220,"US",0,"US","M"
"233",233,2023,"EX","FT","Information Security Officer",116000,"USD",116000,"US",0,"US","M"
"234",234,2023,"SE","FT","Security Software Engineer",238945,"USD",238945,"US",100,"US","M"
"235",235,2023,"SE","FT","Security Software Engineer",159297,"USD",159297,"US",100,"US","M"
"236",236,2023,"SE","FT","Security Engineer",170000,"USD",170000,"US",100,"US","M"
"237",237,2023,"SE","FT","Security Engineer",150000,"USD",150000,"US",100,"US","M"
"238",238,2023,"MI","FT","Security Engineer",225000,"USD",225000,"US",0,"US","M"
"239",239,2023,"MI","FT","Security Engineer",66000,"USD",66000,"US",0,"US","M"
"240",240,2023,"EX","FT","Information Security Officer",300000,"USD",300000,"US",0,"US","M"
"241",241,2023,"EX","FT","Information Security Officer",250000,"USD",250000,"US",0,"US","M"
"242",242,2023,"SE","FT","Security Engineer",273780,"USD",273780,"US",0,"US","M"
"243",243,2023,"SE","FT","Security Engineer",156420,"USD",156420,"US",0,"US","M"
"244",244,2023,"SE","FT","Security Engineer",315000,"USD",315000,"CA",100,"CA","M"
"245",245,2023,"SE","FT","Security Engineer",105000,"USD",105000,"CA",100,"CA","M"
"246",246,2023,"SE","FT","Security Architect",230350,"USD",230350,"US",0,"US","M"
"247",247,2023,"SE","FT","Security Architect",153550,"USD",153550,"US",0,"US","M"
"248",248,2023,"SE","FT","Security Architect",175000,"USD",175000,"US",0,"US","M"
"249",249,2023,"SE","FT","Security Architect",90000,"USD",90000,"US",0,"US","M"
"250",250,2023,"EX","FT","Information Security Officer",275000,"USD",275000,"US",100,"US","M"
"251",251,2023,"EX","FT","Information Security Officer",200000,"USD",200000,"US",100,"US","M"
"252",252,2023,"SE","FT","Security Architect",255000,"USD",255000,"US",0,"US","L"
"253",253,2023,"SE","FT","Security Engineer",217000,"USD",217000,"US",0,"US","L"
"254",254,2023,"SE","FT","Information Systems Security Officer",206000,"USD",206000,"US",0,"US","L"
"255",255,2023,"SE","FT","Cyber Security Architect",255000,"USD",255000,"US",0,"US","L"
"256",256,2023,"SE","FT","Security Operations Engineer",230000,"USD",230000,"US",100,"US","M"
"257",257,2023,"SE","FT","Security Operations Engineer",185000,"USD",185000,"US",100,"US","M"
"258",258,2023,"SE","FT","Security Researcher",172590,"USD",172590,"US",0,"US","M"
"259",259,2023,"SE","FT","Security Researcher",120000,"USD",120000,"US",0,"US","M"
"260",260,2023,"SE","FT","Security Lead",165000,"USD",165000,"US",0,"US","M"
"261",261,2023,"SE","FT","Security Lead",125000,"USD",125000,"US",0,"US","M"
"262",262,2023,"SE","FT","Security Engineer",277000,"USD",277000,"US",100,"US","M"
"263",263,2023,"SE","FT","Security Engineer",198000,"USD",198000,"US",100,"US","M"
